Function,Function code,Major Account Head Description,Major Account Code,Detailed Account Code Description,Detailed Account Code,2012-13 Actuals, 2013-14 Budget Estimates,2013-14 Revised Estimates,2013-14 Actuals, 2014-15 Budget Estimates,2014-15 Revised Estimates,2014-15 Actuals,2015-16 Budget Estimates,2015-16 Revised Estimates,2016-17  Budget Estimates
Public Works-General,2801,Operation & Maintenance,230,Maintenance of Heritage Structures / Buildings,2305206,7.91,500,500,0,510,50,0,400,210,225
Public Works-General,2801,Operation & Maintenance,230,"Repairs and Maintenance to Furniture, Fixtures and Equipment",2305901,110.33,120,178.66,41.22326,247.41,350,35.43,300,212,233.79
Public Works-General,2801,Operation & Maintenance,230,Repairs and Maintenance to Computers & Network,2305902,0,382,56.84,0,59.12,200,0,100,54,64.4
Public Works-General,2801,Operation & Maintenance,230,Demolition & Removal Expenses,2308007,42.67,65,317.39,117.97248,300,400,115.04,400,272,298
Public Works-General,2801,Operation & Maintenance,230,Quality Control Expenses,2308008,0.02,90,79.5,4.85395,99.91,120,5.02,300,251,283
Total for Public Works-General (2801),,,,,,18582.39,25623.21,25142.81,13880.97182,33182.18,33699,19683.96,21337,23970.23,26870.29
Public Health,3100,Establishment Expenses,210,Basic Pay,2101001,7921.65,9718,8620,6772.87892,9728.03,8500,6107.7,8685,9371.81,10895.13
Public Health,3100,Establishment Expenses,210,Dearness Allowance,2101002,3493.17,3586.5,2500,3982.59812,3043.61,5485,4554.6,5095,2571.87,3442.86
Public Health,3100,Establishment Expenses,210,House Rent Allowance,2101003,2108.41,2699.1,2149.1,1914.65238,2184.59,2125,1764.68,2195,2881.21,3094.24
Public Health,3100,Establishment Expenses,210,CCA,2101004,178.95,309.67,215.23,164.31464,245.06,225,155.64,282,231.49,257.03
Public Health,3100,Establishment Expenses,210,Conveyance & Other Allowances,2101005,98.14,161.5,135.76,183.56847,145.61,430,474.79,405,398.95,540.27
Public Health,3100,Establishment Expenses,210,Interim Relief,2101006,12.69,70.45,118.18,288.16446,118.98,1175,1212.4,1054,189.79,248
Public Health,3100,Establishment Expenses,210,Wages to Sanitation Workers Through Contractors/Societies,2101023,17723.97,17601,22355,20980.2025202,22693.95,27700,25944.67,30000,26550,30589.63
Public Health,3100,Establishment Expenses,210,Wages to Entomology Workers Through Contractors/Societies,2101024,1865.04,2000,2957.31,2846.42889,3173.52,3535,2971.24,2450,3155.39,3415.36
Public Health,3100,Establishment Expenses,210,Service Pension,2103001,0,0,0,0,0,0,3933,0,3400,3516.56
Public Health,3100,Establishment Expenses,210,Family Pension,2103002,0,10,5,0,5,0,23.3,0,155,221
Public Health,3100,Administrative Expenses,220,"Insurance for Vehicles, Equipment and Taxes",2201003,65.02,200,175,108.62833,200,300,0,115,207.1,210.13
Public Health,3100,Administrative Expenses,220,Office Electricity Charges,2201101,76.37,1.5,80,0.98966,80,50,4.36,30,11,12
Public Health,3100,Administrative Expenses,220,"Office Telephone, Mobiles, Faxes and Leased Lines",2201201,0.33,0,1,0.13843,1,4,0.1,2,2,2
Public Health,3100,Operation & Maintenance,230,Fuel for Light Vehicles,2301003,2713.18,450,365,271.34669,192.89,300,19.09,350,200,210
Public Health,3100,Operation & Maintenance,230,Fuel for Heavy Vehicles,2301004,3529.05,4850,5630.53,7007.04716,6500,10100,8182.72,7650,9374.5,9747
Public Health,3100,Operation & Maintenance,230,Fuel for Staff Vehicles,2301005,317.89,700,350,348.33181,450,500,333.8,500,450,460
Public Health,3100,Operation & Maintenance,230,Purchase of Medicines,2302002,0.27,12,12,0.52905,21.5,30,3.4,30,15,17
Public Health,3100,Operation & Maintenance,230,Rent and Hire Chares of Vehicles and Machinery,2304001,3049.7,2400,4170,4836.80761,4857.21,6300,4729.1,4000,4768.4,5153.85
Public Health,3100,Operation & Maintenance,230,Rent and Hire of Mechanical Sweeping Services,2304003,0,0,0,0,3600,1200,0,500,300,310
Public Health,3100,Operation & Maintenance,230,Repairs and Maintenance to Public Toilets,2305109,38.46,150,151.6,34.31245,159.63,150,35.69,250,212.5,234
Public Health,3100,Operation & Maintenance,230,Swatch Bharath,2305120,0,0,0,0,0,0,0,0,373,403
Public Health,3100,Operation & Maintenance,230,Repairs and Maintenance to Burial Grounds,2305115,124.52,400,615,196.96079,1754.55,1000,207.43,1100,533,568.3
Public Health,3100,Operation & Maintenance,230,Repairs and Maintenance to Vehicles,2305301,2923.49,500,3000,3771.48377,3200,3200,3176.81,3000,3211.1,3512.63
Public Health,3100,Operation & Maintenance,230,Expenses on Unclaimed Dead Bodies,2308011,4.4,35,33.48,10.096,38.24,80,9.49,50,132.5,146.8
Public Health,3100,Operation & Maintenance,230,Control of Stray Animals,2308012,579.26,700,650,565.41874,750,680,609.35,440,835,919
Public Health,3100,Operation & Maintenance,230,"Sanitation / Conservancy Tools, Material and Expenses",2308013,5482.22,2600,1485,1173.02355,1600,2900,1540.06,2500,1718,1874.2
Public Health,3100,Operation & Maintenance,230,Maintenance of Garbage Dumping Yards / Transfer Stations/Dumper Bins,2308015,7040.16,5000,150,141.67422,500,500,20.19,500,1075,434.73
Public Health,3100,Operation & Maintenance,230,Maintenance of Slaughter House,2308016,2.9,15,17,0,18.75,120,0,350,145.85,161.53
Public Health,3100,Programme Expenses,250,"Urban Malaria Eradication -Purchase of Materials, Tools, Oils etc.",2502002,1023.89,750,898,232.1337368,1200,1100,87.9,400,207,227
Public Health,3100,Programme Expenses,250,"Urban Dengue Eradication - Purchase of Material, Tools, Oils & Wages etc.",2502012,0,0,300,0,100,100,74.95,100,50,75
Total for Public Health (3100),,,,,,60373.13,54919.72,57139.19,55831.730397,66562.12,77789,66176.46,72033,72726.46,80898.25
Veterinary Services,4300,Establishment Expenses,210,Basic Pay,2101001,0,2.67,0,9.26295,0,12,35.45,12,117.7,128.57
Veterinary Services,4300,Establishment Expenses,210,Dearness Allowance,2101002,0,2.89,0,4.0785,0,6,18,5,21.64,26.7
Veterinary Services,4300,Establishment Expenses,210,House Rent Allowance,2101003,0,0.7,0,2.47764,0,3,6.83,3,36.8,38.75
Veterinary Services,4300,Establishment Expenses,210,CCA,2101004,0,0.33,1,0.2135,1,1,0.49,1,2.47,2.63
Veterinary Services,4300,Establishment Expenses,210,Conveyance & Other Allowance,2101005,0,0,0,0,0,0,1.68,0,2.45,2.87
Veterinary Services,4300,Establishment Expenses,210,Interim Relief,2101006,0,0,0,0,0,0,5.46,0,1.75,1
Veterinary Services,4300,Establishment Expenses,210,Service Pension,2103001,0,0,0,0,0,0,94.59,0,108.85,119.27
Veterinary Services,4300,Establishment Expenses,210,Family Pension,2103002,0,0,0,0,0,0,0.01,0,20,82
Total for Veterinary Services (4300),,,,,,0,6.59,1,16.03259,1,22,162.51,21,311.66,401.79
Water Supply,5100,Operation & Maintenance,230,Power Charges for Water Pumping,2301002,929.76,0,100,0,100,1000,0,1000,650.11,632.05
Water Supply,5100,Operation & Maintenance,230,Water Supply Maintenance,2308019,3065.62,4993,6738.87,7851.54101,7428.49,7400,3547.57,3000,2640,3617.5
Total for Water Supply (5100),,,,,,3995.38,4993,6838.87,7851.54101,7528.49,8400,3547.57,4000,3290.11,4249.55
Fire Services,5300,Establishment Expenses,210,Basic Pay,2101001,0,0,0,0,0,0,2.9,0,0,0
Fire Services,5300,Establishment Expenses,210,Dearness Allowance,2101002,0.96,1.5,2,0.36048,2,1,2.08,1,0,0
Fire Services,5300,Establishment Expenses,210,House Rent Allowance,2101003,0.28,1.5,10,0.2256,10,1,1.24,1,0,0
Total for Fire Services (5300),,,,,,1.24,3,12,0.58608,12,2,6.22,2,0,0
Play Grounds,6200,Establishment Expenses,210,Basic Pay,2101001,198.84,226,200,185.23024,200,230,184.5,235,265,320
Play Grounds,6200,Establishment Expenses,210,Dearness Allowance,2101002,98.56,92,60,114.39234,70,155,142.93,145,74,88
Play Grounds,6200,Establishment Expenses,210,House Rent Allowance,2101003,58.69,79,60,55.8134,60,60,55.66,65,79,95
Play Grounds,6200,Establishment Expenses,210,CCA,2101004,6.14,7.05,10,4.50673,10,7,4.19,8,6.5,9
Play Grounds,6200,Establishment Expenses,210,Conveyance & Other Allowances,2101005,1.75,1,1,6.62866,1,15,5.51,15,15.5,18
Play Grounds,6200,Establishment Expenses,210,Interim Relief,2101006,0.22,1,1,11.05796,1,45,46.09,40,12,15
Play Grounds,6200,Establishment Expenses,210,Surrender Leave Encashment,2101007,0,0,0,0,0,0,0.29,0,5,8
Play Grounds,6200,Establishment Expenses,210,Educational Concession & Scholarships,2102010,0,0,0,0,500,100,2.85,200,25,100
Play Grounds,6200,Establishment Expenses,210,Service Pension,2103001,0,0,0,0,0,0,18.01,0,50,75
Play Grounds,6200,Establishment Expenses,210,Family Pension,2103002,0,0,0,0,0,0,0.53,0,5,10
Play Grounds,6200,Administrative Expenses,220,"Office Telephone, Mobiles, Faxes and Leased Lines",2201201,0.04,0,1,0,1,4,0,2,1,1
Play Grounds,6200,Administrative Expenses,220,Subscriptions & Membership Fees,2206102,0,12,12,0,14,10,0.06,5,5,5.5
Play Grounds,6200,Operation & Maintenance,230,Repairs and Maintenance to Play Grounds,2305105,169.78,300,318,142.7491,786.07,790,76.56,180,207,255
Play Grounds,6200,Operation & Maintenance,230,Swimming Pools,2305106,0,0,0,0,0,10,0,20,49,61
Play Grounds,6200,Programme Expenses,250,Summer/Winter Coaching Camps,2502009,19.88,60,75,23.36711,85,250,14.45,400,112,375
Total for Play Grounds (6200),,,,,,553.9,778.05,738,543.74554,1728.07,1676,551.63,1315,911,1435.5
Urban Forestry,6400,Establishment Expenses,210,Basic Pay,2101001,20.66,73.5,70,37.56183,70,50,76.12,50,212,224
Urban Forestry,6400,Establishment Expenses,210,Dearness Allowance,2101002,10.36,22,20,24.28019,20,35,57.75,30,105,113
Urban Forestry,6400,Establishment Expenses,210,House Rent Allowance,2101003,5.85,23.5,20,12.11108,20,14,22.4,14,75,80
Urban Forestry,6400,Establishment Expenses,210,CCA,2101004,0.35,3,3,1.1947,3,2,1.49,2,6.5,7.5
Urban Forestry,6400,Establishment Expenses,210,Conveyance & Other Allowances,2101005,0.2,1,1,1.54071,1,4,7.54,4,15,16
Urban Forestry,6400,Establishment Expenses,210,Interim Relief,2101006,0.07,1,1,2.15807,1,9,14.07,8,13.5,8
Urban Forestry,6400,Establishment Expenses,210,Service Pension,2103001,0,0,0,0,0,0,5,0,0,0
Urban Forestry,6400,Establishment Expenses,210,Family Pension,2103002,0,0,0,0,0,0,0,0,0,0
Urban Forestry,6400,Administrative Expenses,220,Office Electricity Charges,2201101,26.68,37.5,40,0,50,40,42.02,25,75,87
Urban Forestry,6400,Administrative Expenses,220,Office Water Charges,2201102,0.18,0,2,0.01748,4,15,0,5,4,4.53
Urban Forestry,6400,Administrative Expenses,220,Organisation of Festivals,2206005,0,0,0,0.61803,0,0,3.33,0,5,6
Urban Forestry,6400,Administrative Expenses,220,"Meetings, Seminars, Conferences, Exhibitions, etc.",2206006,0,4,20,0,22,50,2.76,20,8,9
Urban Forestry,6400,Operation & Maintenance,230,Repairs and Maintenance to City Level Parks,2305101,428.97,560,440,302.44103,1750,1200,573.49,500,620,655
Urban Forestry,6400,Operation & Maintenance,230,Repairs and Maintenance to Colony Parks,2305103,538.89,600,627,842.7776711,1550.12,1600,1040.25,1000,1218.24,1385
Urban Forestry,6400,Operation & Maintenance,230,Nursery,2305107,0,0,0,0,0,0,0,0,0,0
Urban Forestry,6400,Operation & Maintenance,230,Avenue and Other Plantations,2305112,0,0,2,0,28,50,0,90,85,85
Urban Forestry,6400,Operation & Maintenance,230,Traffic Islands /Central Media,2305113,0,0,2,0,103,100,0,90,89,89
Total for Urban Forestry (6400),,,,,,1032.21,1325.5,1248,1224.7007911,3622.12,3169,1846.22,1838,2531.24,2769.03
Horticulture,6401,Establishment Expenses,210,Basic Pay,2101001,788.53,844.25,750,738.5614,760,925,663.51,945,1339,1443
Horticulture,6401,Establishment Expenses,210,Dearness Allowance,2101002,365.25,346.7,240,405.32663,364.39,555,478.48,515,400.25,467
Horticulture,6401,Establishment Expenses,210,House Rent Allowance,2101003,215.5,270,220,203.2992,220,225,193.74,234,429.5,443
Horticulture,6401,Establishment Expenses,210,CCA,2101004,16.98,30.7,20,15.67192,20,23,14.52,28,34,35.53
Horticulture,6401,Establishment Expenses,210,Conveyance & Other Allowances,2101005,1.14,6.3,2,1.05125,2,3,21.86,3,26.5,28.53
Horticulture,6401,Establishment Expenses,210,Interim Relief,2101006,0.73,3,3,37.74164,3,150,116.19,138,35.71,26.5
Horticulture,6401,Establishment Expenses,210,Surrender Leave Encashment,2101007,0,0,0,0,0,0,3.78,0,48.2,51
Horticulture,6401,Establishment Expenses,210,Honorarium (Others),2101010,0,0,0,0,0,0,0.62,0,0,0
Horticulture,6401,Establishment Expenses,210,Service Pension,2103001,0,0,0,0,0,0,201.77,0,195,216
Horticulture,6401,Establishment Expenses,210,Family Pension,2103002,0,0,0,0,0,0,0.24,0,9,10
Horticulture,6401,Establishment Expenses,210,Salary Reimbursement to Parent Departments,2101051,0.01,0.5,1,0,1,0,0,0,0,0
Horticulture,6401,Administrative Expenses,220,Office Electricity Charges,2201101,27.96,28.1,30,33.22163,30,70,62.7,48,65,70
Horticulture,6401,Administrative Expenses,220,Office Water Charges,2201102,7.11,8.85,8.85,6.64925,10,30,5.29,15,13,15
Horticulture,6401,Operation & Maintenance,230,Repairs and Maintenance to City Level Parks,2305101,8.76,40,50.07,71.44461,54.21,600,114.24,200,211,236
Horticulture,6401,Operation & Maintenance,230,Repairs and Maintenance to Colony Parks,2305103,132,300,300,282.471095,1000,1100,454.37,300,385.5,420
Total for Horticulture (6401),,,,,,1563.97,1878.4,1624.92,1795.438625,2464.6,3681,2331.31,2426,3191.66,3461.56
Urban Poverty Alleviation,7800,Establishment Expenses,210,Basic Pay,2101001,329.51,273.5,240,208.97013,250,260,134.42,265,437,468
Urban Poverty Alleviation,7800,Establishment Expenses,210,Dearness Allowance,2101002,156.8,135.85,90,114.33801,100,155,97.15,145,136.25,145
Urban Poverty Alleviation,7800,Establishment Expenses,210,House Rent Allowance,2101003,94.57,101.8,80,59.14115,80,65,38.16,68,158.5,170.4
Urban Poverty Alleviation,7800,Establishment Expenses,210,CCA,2101004,7.89,15.03,10,4.78769,10,7,2.8,9,12.58,14.6
Urban Poverty Alleviation,7800,Establishment Expenses,210,Conveyance & Other Allowances,2101005,1.77,8.7,2,26.05528,2,60,25.9,55,53.4,57.53
Urban Poverty Alleviation,7800,Establishment Expenses,210,Interim Relief,2101006,2.64,9.2,10,2.33605,10,10,11.79,9,6.18,4.5
Urban Poverty Alleviation,7800,Establishment Expenses,210,Surrender Leave Encashment,2101007,0,0,0,0,0,0,3.09,0,24.18,24.9
Urban Poverty Alleviation,7800,Establishment Expenses,210,Service Pension,2103001,0,0,0,0,0,0,85.98,0,137,141
Urban Poverty Alleviation,7800,Administrative Expenses,220,Office Electricity Charges,2201101,29.51,72,50,30.73413,60,60,0.73,42,40,42
Urban Poverty Alleviation,7800,Administrative Expenses,220,"Office Telephone, Mobiles, Faxes and Leased Lines",2201201,6.77,0,8,0,10,10,0.03,5,2.5,2.53
Urban Poverty Alleviation,7800,Administrative Expenses,230,Petty Contingent Expenses,2208002,170.6,0,222.43,0,252.07,0,0,0,0,0
Urban Poverty Alleviation,7800,Operation & Maintenance,230,"Mapping, Plotting & Drawing Expenses",2308005,1.42,60,40,0.90898,44,20,0,5,5,6
Urban Poverty Alleviation,7800,Programme Expenses,250,Community Organisation/Mobilisation/Capacity Building/Training,2502007,295.17,900,650,503.0041,5000,2100,408.49,800,349,515.2
Urban Poverty Alleviation,7800,Programme Expenses,250,Aasara for Old Age Senior Citizens Programme Expenses,2502011,13.32,100,159.22,11.25092,192.97,0,11.05,1000,204,470.5
Urban Poverty Alleviation,7800,Programme Expenses,250,Vikasam (Disable Welfare Programme),2502013,0,0,365,636.88485,956,2000,1,1000,412,500
Urban Poverty Alleviation,7800,Programme Expenses,250,Night Shelter,2502014,0,0,200,18.08006,1000,0,6.21,0,33,29.2
Urban Poverty Alleviation,7800,Programme Expenses,250,Disbursements to T&S / DWCUA & Self Help Groups Under SJSRY,2503003,322.75,350,370,0,503.05,0,0,1200,324,331
Urban Poverty Alleviation,7800,Programme Expenses,250,MEPMA,2503005,218.93,1760,1050,0,1558.91,0,32.25,600,161,511
Total for Urban Poverty Alleviation (7800),,,,,,1651.65,3786.08,3546.65,1616.49135,10029,4747,859.05,5203,2495.59,3433.36
Tax Revenue,9100,Establishment Expenses,210,Basic Pay,2101001,547.24,615.97,550,624.35549,550,780,657.76,800,1367.82,1462.82
Tax Revenue,9100,Establishment Expenses,210,Dearness Allowance,2101002,268.14,247.58,170,375.17251,180,515,467.34,480,269.88,314.88
Tax Revenue,9100,Establishment Expenses,210,House Rent Allowance,2101003,159.1,180.38,150,182.53629,150,200,181.28,210,123.92,139.52
Tax Revenue,9100,Establishment Expenses,210,CCA,2101004,13.51,29.6,20,15.192,20,22,18.27,27,25.2,26.2
Tax Revenue,9100,Establishment Expenses,210,Conveyance & Other Allowances,2101005,1.14,5.63,2,17.77343,2,40,85.37,40,107.84,112.84
Tax Revenue,9100,Establishment Expenses,210,Interim Relief,2101006,0.35,9.05,10,16.14667,10,65,71.94,60,11.48,9.72
Tax Revenue,9100,Establishment Expenses,210,Service Pension,2103001,0,0,0,0,0,0,301.43,0,355.11,374.41
Tax Revenue,9100,Establishment Expenses,210,Family Pension,2103002,0,0,0,0,0,0,1.34,0,34,55
Tax Revenue,9100,Establishment Expenses,210,Salary Reimbursement to Parent Departments,2101051,0.45,0.15,1,0,1,0,0,0,0,0
Tax Revenue,9100,Administrative Expenses,220,Consultancy Charges,2205201,0,0.17,1,0,1,0,0,0,0,0
Total for Tax Revenue (9100),,,,,,989.93,1088.53,904,1231.17639,914,1622,1784.73,1617,2295.25,2495.39
Advertisement,9300,Establishment Expenses,210,Basic Pay,2101001,43.63,35,30,58.83375,30,96,43.85,91,49.87,79.79
Advertisement,9300,Establishment Expenses,210,Dearness Allowance,2101002,21.49,10,10,31.93411,10,60,32.65,48,35.18,19.95
Advertisement,9300,Establishment Expenses,210,House Rent Allowance,2101003,12.07,10,10,17.2619,10,25,12.82,18,21.2,23.94
Advertisement,9300,Establishment Expenses,210,CCA,2101004,1.04,1,1,1.39078,1,10,0.97,7,1.5,3
Advertisement,9300,Establishment Expenses,210,Conveyance & Other Allowances,2101005,0.45,1,1,2.9272,1,8,3.59,10,5,5
Advertisement,9300,Establishment Expenses,210,Interim Relief,2101006,0,1,1,1.98099,1,14,11.16,11,0,0
Advertisement,9300,Establishment Expenses,210,Surrender Leave Encashment,2101007,0,0,0,0,0,0,1.73,0,5,15
Advertisement,9300,Establishment Expenses,210,Salary Reimbursement to Parent Departments,2101051,0,0,0,0,0,0,0,0,35,45
Advertisement,9300,Establishment Expenses,210,Service Pension,2103001,0,0,0,0,0,0,2.85,0,95,152
Advertisement,9300,Administrative Expenses,220,"Office Telephone, Mobiles, Faxes and Leased Lines",2201201,0.03,0,1,0,1,4,0,2,0,0
Total for Advertisement (9300),,,,,,78.71,58,54,114.32873,54,217,109.62,187,247.75,343.68
,,,,Total Revenue Expenditure,,131588.86,152900.01,151877.56,137008.166944,188710.94,206000,147345.81,173200,180326,196938
